layer,method,scope,direction,gap_closed_mean_pct,gap_closed_sd_pct,n
-2,all_tc_features,all,inject,40.14213931860491,17.626235842215834,4
-2,color_features,all,inject,0.6556620691772735,1.23175483656297,4
-2,mlp_swap_ceiling,all,inject,65.52786988368315,20.744454366366178,4
-2,mlp_swap_ceiling,bowl,inject,20.153679362125732,13.437402562084955,4
-2,mlp_swap_ceiling,nonbowl,inject,29.381154041317973,8.30680900738762,4
-2,occ_features,all,inject,3.916980342364459,3.501391409582547,4
-2,occ_features,bowl,inject,3.0792423436067136,2.9751684764964628,4
-2,occ_features,nonbowl,inject,0.9609754594019776,0.8450064734687216,4
-2,random_raw,all,inject,0.5299962232395605,0.987146425506183,20
-2,random_same_norm,all,inject,0.5648667077227959,1.0496506015758778,20
-2,color_features,all,remove,2.9870007142958372,4.333534007239962,4
-2,mlp_swap_ceiling,all,remove,85.5981135232237,11.384748830304225,4
-2,occ_features,all,remove,7.9185958508010685,10.843417561311155,4
-1,occ_features_all_top_layers,all,inject,2.4734718434353518,2.1790821569026604,4
0,all_tc_features,all,inject,2.6247293979695,2.1071941804129946,4
0,all_tc_features,bowl,inject,1.449353936540182,1.4022599586960187,4
0,all_tc_features,nonbowl,inject,1.2252054813680746,0.6667851334445736,4
0,color_features,all,inject,0.36543257314472777,0.7239095201322369,4
0,color_features,bowl,inject,0.06062403399039462,0.07547383813679555,4
0,color_features,nonbowl,inject,0.42898977576894537,0.7116075581430228,4
0,full_token_swap_ceiling,all,inject,82.26647896799288,25.036001020755673,4
0,full_token_swap_ceiling,bowl,inject,28.89577739224798,25.54581527376859,4
0,full_token_swap_ceiling,nonbowl,inject,21.740852668491087,12.308689687009327,4
0,mlp_swap_ceiling,all,inject,3.090037648454736,2.3709118580753885,4
0,mlp_swap_ceiling,bowl,inject,1.379757738919013,1.650356454271324,4
0,mlp_swap_ceiling,nonbowl,inject,1.3321065562950818,0.8020721606786827,4
0,occ_features,all,inject,0.18172557641423226,0.19840797618250658,4
0,occ_features,bowl,inject,0.7370767675181772,0.8947869747000435,4
0,occ_features,nonbowl,inject,-0.013249361251371772,0.133007312821491,4
0,random_raw,all,inject,0.196805105721104,0.56195055884042,20
0,random_raw,bowl,inject,0.20185526232921247,0.4136753371089887,20
0,random_raw,nonbowl,inject,0.28035637032074956,0.7918494489232013,20
0,random_same_norm,all,inject,0.2696612163316553,0.6202125384990292,20
0,random_same_norm,bowl,inject,0.2801811339285676,0.5762884211912345,20
0,random_same_norm,nonbowl,inject,0.43374161973882447,0.855547376754634,20
0,single_feature_269,all,inject,0.5203176845236773,0.7293306429093137,4
0,single_feature_274,all,inject,0.20828241936545755,0.2979033323034655,4
0,single_feature_396,all,inject,-0.09104573693264062,0.18901449146300228,4
0,single_feature_415,all,inject,0.4602910816783462,0.7313018170385195,4
0,color_features,all,remove,4.653767176683213,8.073007267675555,4
0,mlp_swap_ceiling,all,remove,16.144790212936005,14.522235568359983,4
0,occ_features,all,remove,9.360422464827728,15.374000676715035,4
4,all_tc_features,all,inject,3.4712266725092453,1.9129113031204306,4
4,all_tc_features,bowl,inject,1.9872646243208807,1.8996939277128444,4
4,all_tc_features,nonbowl,inject,2.5307736204475546,1.6536826545595211,4
4,color_features,all,inject,0.24956820568775573,0.31548571024682415,4
4,color_features,bowl,inject,0.4227390617603799,0.7286196708003762,4
4,color_features,nonbowl,inject,0.33099665241044796,0.5036601113524327,4
4,full_token_swap_ceiling,all,inject,91.25062422555439,5.435969552134184,4
4,full_token_swap_ceiling,bowl,inject,22.15349585414225,14.97534329023407,4
4,full_token_swap_ceiling,nonbowl,inject,28.87350502824333,19.950154826145447,4
4,mlp_swap_ceiling,all,inject,5.55333717002263,2.6903089926803165,4
4,mlp_swap_ceiling,bowl,inject,2.4456636636670694,2.2777363252069542,4
4,mlp_swap_ceiling,nonbowl,inject,3.8347167901500505,1.9357433119250567,4
4,occ_features,all,inject,1.1651933234301,1.0068896535391185,4
4,occ_features,bowl,inject,0.6854115822291645,0.741112282101851,4
4,occ_features,nonbowl,inject,0.06695707669713558,0.5722847926356328,4
4,random_raw,all,inject,0.2276693663599061,0.40186011761720625,20
4,random_raw,bowl,inject,0.179409663608307,0.44364371675116565,20
4,random_raw,nonbowl,inject,0.2660337411850572,0.4797621654092917,20
4,random_same_norm,all,inject,0.19500448956267236,0.5591031946211443,20
4,random_same_norm,bowl,inject,0.21981839780508103,0.6305960499184627,20
4,random_same_norm,nonbowl,inject,0.1084857843676329,0.3643744623066527,20
4,single_feature_112,all,inject,0.11611133692468745,0.3182407902989391,4
4,single_feature_150,all,inject,0.41345103481049694,0.6774850200216541,4
4,single_feature_158,all,inject,0.553050948707362,0.738451230995157,4
4,single_feature_317,all,inject,0.14068660479866213,0.12289275740717968,4
4,single_feature_333,all,inject,0.039977557017023546,0.050008492118052195,4
4,single_feature_359,all,inject,0.38373264957920483,0.6374885800266518,4
4,single_feature_397,all,inject,0.25886448101700155,0.313484476318723,4
4,single_feature_59,all,inject,0.6231882655719362,0.5676389896172295,4
4,color_features,all,remove,-1.1365617391346006,1.7481835374113466,4
4,mlp_swap_ceiling,all,remove,23.928971240567016,15.3203662073118,4
4,occ_features,all,remove,-1.5817689909763317,6.012555377754449,4
5,all_tc_features,all,inject,3.9513716057573536,2.1811789611785253,4
5,all_tc_features,bowl,inject,2.014541859578453,1.5579189890190102,4
5,all_tc_features,nonbowl,inject,2.19142241100736,1.4744500261797968,4
5,color_features,all,inject,0.45714305579259984,0.6893585414016841,4
5,color_features,bowl,inject,0.4923991720901827,0.706224804663358,4
5,color_features,nonbowl,inject,0.26601519284983055,0.4010947257339681,4
5,full_token_swap_ceiling,all,inject,80.41293394087472,20.702277709712675,4
5,full_token_swap_ceiling,bowl,inject,18.5718570900692,11.917133219724002,4
5,full_token_swap_ceiling,nonbowl,inject,28.625690918432515,19.995125685433912,4
5,mlp_swap_ceiling,all,inject,4.146080978969993,3.280357196151895,4
5,mlp_swap_ceiling,bowl,inject,1.7655830714788963,1.4608957966981153,4
5,mlp_swap_ceiling,nonbowl,inject,2.7250094709677097,2.632807587668845,4
5,occ_features,all,inject,1.9160455298164736,2.3305667139845476,4
5,occ_features,bowl,inject,1.2965767588192403,1.5725990162448313,4
5,occ_features,nonbowl,inject,0.7519891905784143,0.9798499521613524,4
5,random_raw,all,inject,0.30614647669832235,0.7321407048998417,20
5,random_raw,bowl,inject,0.10063490538323228,0.35698102235895823,20
5,random_raw,nonbowl,inject,0.35417552665650937,0.7655078915840883,20
5,random_same_norm,all,inject,0.2735429348416252,0.6163445894209888,20
5,random_same_norm,bowl,inject,0.40275619016282904,0.8273454901175666,20
5,random_same_norm,nonbowl,inject,0.25517191242997617,0.6464213401864726,20
5,single_feature_124,all,inject,1.1246890959616147,1.2301248936651,4
5,single_feature_177,all,inject,0.0435599842469353,0.12323227081061945,4
5,single_feature_270,all,inject,0.19774888672255408,0.28906088640011357,4
5,single_feature_318,all,inject,0.7771188594301481,1.3729358270420948,4
5,single_feature_32,all,inject,0.03363115633163993,0.2842936222308948,4
5,single_feature_505,all,inject,0.8705788745848347,1.315833532636502,4
5,color_features,all,remove,-1.093803580473357,2.166167447681564,4
5,mlp_swap_ceiling,all,remove,22.527189557233907,16.2153228607427,4
5,occ_features,all,remove,8.389112314162706,12.006007910144238,4
